namep,cntrcd,rgn,ind,tnp,nnp,adr,datein,pttype,srvcs,xchtype,uid,participantstatus,regn,prntbic,englname
УФК по Астраханской области,RU,12,414056,г,Астрахань,"ул Латышева, 6 Г",2010-06-08,52,3,1,1280002005,PSAC,,,
"УРАЛЬСКИЙ ФИЛИАЛ АО ""РАЙФФАЙЗЕНБАНК""",RU,65,620075,г,Екатеринбург,"ул Красноармейская, 10",2005-03-03,30,3,1,6577906000,PSAC,3292/2,044525700,
"ФИЛИАЛ ""БАНКА ЗАРЕЧЬЕ"" (АО) В Г. ОРЛЕ",RU,54,302020,г,Орёл,"Наугорское ш, 8А лит А",2012-04-19,30,3,1,5402704000,PSAC,817/13,049205772,
"БАЙКОНУРСКИЙ ФИЛИАЛ АБ ""РОССИЯ""",RU,00,468320,г,Байконур,"ул Советской Армии, 11",2015-02-24,30,3,1,0037471000,PSAC,328/22,044030861,
РКЦ НОВОРОССИЙСК,,03,353900,г,Новороссийск,"ул Советов, 47",1994-01-20,10,3,1,0395000000,PSAC,,040349001,
РКЦ СОЧИ,,03,354000,г,Сочи,"ул Орджоникидзе, 2",1994-01-20,10,3,1,0396000000,PSAC,,040349001,
ПУ БАНКА РОССИИ N 43192,,00,043192,,, П/П 43192,2008-11-07,40,3,1,0001002000,PSAC,,044525000,
ПУ БАНКА РОССИИ N 43197,,00,043197,,, П/П 43197,2008-11-07,40,3,1,0002002000,PSAC,,044525000,
РКЦ ЛЕНСК,,98,678144,г,Ленск,"ул Ленина, 70",1994-01-20,10,3,1,9820000000,PSAC,,049805001,
ПУ БАНКА РОССИИ МАТВЕЕВСКОЕ,,82,368302,г,Каспийск,,2004-05-11,40,3,1,8270002000,PSAC,,040349001,
РКЦ СОВЕТСКАЯ ГАВАНЬ,,08,682800,г,Советская Гавань,"ул Советская, 26",1994-01-20,10,3,1,0816000000,PSAC,,040813001,
Избирательная комиссия Брянской области,RU,15,241050,г,Брянск,"пр-т Ленина, 33",1995-08-11,99,1,0,1501001002,PSAC,,,
УФК по Чеченской Республике,RU,96,364020,г,Грозный,"ул Дэги Имрановича Багаева, 15",2011-06-29,52,3,1,9626002001,PSAC,,,
УФК по Нижегородской области,RU,22,603082,г,Нижний Новгород,"Кремль, к 1 а",2010-12-24,52,3,1,2299002001,PSAC,,,
УФК по Архангельской области и Ненецкому автономному округу,RU,11,163000,г,Архангельск,"ул Карла Либкнехта, 2",2011-03-09,52,3,1,1122002001,PSAC,,,
УФК по Астраханской области,RU,12,414056,г,Астрахань,"ул Латышева, 6 Г",2010-12-31,52,3,1,1236002001,PSAC,,,
МРХ СЕВЕРО-ЗАПАДНОГО ГУ БАНКА РОССИИ,,40,195253,г,Санкт-Петербург,"пр-т Энергетиков, 45",2002-09-06,10,3,1,4083000000,PSAC,,044030001,
Избирательная комиссия Приморского края,RU,05,690110,г,Владивосток,"ул Светланская, 22",1995-06-27,99,1,0,0507001001,PSAC,,,
"КУЗБАССКИЙ ФИЛИАЛ АО ""УГЛЕМЕТБАНК""",RU,32,650991,г,Кемерово,"ул Красноармейская, 136",2005-09-22,30,3,1,3207707000,PSAC,2997/6,047501787,
"ФИЛИАЛ АКБ ""ФОРА-БАНК"" (АО) В Г.ЯРОСЛАВЛЬ",RU,78,150014,г,Ярославль,"Которосльная наб, 55",2006-06-08,30,3,1,7888710000,PSAC,1885/2,044525341,
"""БСТ-БАНК"" АО",RU,32,654041,г,Новокузнецк,"ул Кутузова, 31",1994-07-29,20,3,1,3209706000,PSAC,2883,,
НАЦИОНАЛЬНЫЙ БАНК РЕСПУБЛИКИ АБХАЗИЯ,AB,03,384900,г,Сухум,"пр-т Леона, 14",2012-03-23,20,1,1,0396055000,PSAC,,,
"СИМФЕРОПОЛЬСКИЙ ФИЛИАЛ АБ ""РОССИЯ""",RU,35,295000,г,Симферополь,"пр-т Кирова, 36",2014-06-16,30,3,1,3510107000,PSAC,328/21,044030861,
"ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ БАНКА ""ВЯТИЧ"" (ПАО)",RU,65,620014,г,Екатеринбург,"Банковский пер, 9 А",1997-03-25,30,3,1,6577409000,PSAC,2796/1,046126701,
УФК по Амурской области,RU,10,675000,г,Благовещенск,"ул Ленина, 108",2010-12-28,52,3,1,1081002002,PSAC,,,
КЦ СЕВЕРО-ЗАПАДНОГО ГУ БАНКА РОССИИ,,40,196158,г,Санкт-Петербург,"Московское ш, 27",1999-12-17,10,3,1,4012000000,PSAC,,044030001,
РКЦ ВЕЛИКИЕ ЛУКИ,,58,182110,г,Великие Луки,"пр-т Ленина, 47",1994-01-20,10,3,1,5853000000,PSAC,,045805001,
РКЦ НИЖНЕКАМСК,,92,423581,г,Нижнекамск,"ул Баки Урманче, 8",1994-01-20,10,3,1,9246000000,PSAC,,049205001,
ПУ БАНКА РОССИИ ГЕОРГИЕВСКОЕ,,07,356806,г,Будённовск,мкр Северный,1998-08-21,40,3,1,0703002000,PSAC,,040349001,
ПУ БАНКА РОССИИ ЗАВОДСКОЕ,,28,171090,п,Озёрный,,1994-01-20,40,3,1,2880002000,PSAC,,044525000,
УФК по Хабаровскому краю,RU,08,680000,г,Хабаровск,"ул Дзержинского, 41",2011-03-03,52,3,1,0816000041,PSAC,,,
"НИЖЕГОРОДСКИЙ Ф-Л ПАО АКБ ""МЕТАЛЛИНВЕСТБАНК""",RU,22,603005,г,Нижний Новгород,"ул Минина, 16 А",2009-04-09,30,3,1,2202886000,PSAC,2440/5,044525176,
"ФИЛИАЛ N8 ПАО КБ ""ЦЕНТР-ИНВЕСТ""",RU,03,350000,г,Краснодар,"ул. Октябрьская, 183/ ул. Северная, 326",2003-08-14,30,3,1,0349550000,PSAC,2225/8,046015762,
"ФИЛИАЛ В Г.АСТРАХАНИ АО ""МБ БАНК""",RU,12,414000,г,Астрахань,"пл Ленина, 6 А, стр лит А",2011-06-02,30,3,1,1203712000,PSAC,3396/1,044525184,
"ФИЛИАЛ АО АКБ ""НОВИКОМБАНК"" В Г.С-ПЕТЕРБУРГЕ",RU,40,190000,г,Санкт-Петербург,"Конногвардейский б-р, 3 лит А",2011-05-06,30,3,1,4030902000,PSAC,2546/5,044525162,
"ФКУ "" Войсковая часть 10199 """,RU,29,248016,г,Калуга,"ул М.Горького, 60",2000-01-01,99,1,0,2908001005,PSAC,,,
Избирательная комиссия Челябинской области,RU,75,454009,г,Челябинск,"ул Кирова, 114",1995-09-04,99,1,0,7501001001,PSAC,,,
"АО КБ ""ВАКОБАНК""",RU,58,182110,г,Великие Луки,"ул Карла Либкнехта, 15",1994-01-20,20,3,1,5853774000,PSAC,1291,,
"Урюпинский филиал ПАО КБ ""Сельмашбанк""",RU,18,403112,г,Урюпинск,"ул. Штеменко, 47/3",2018-09-26,30,3,1,1806745000,PSAC,106/8,046015860,
"ФИЛИАЛ ""КУРГАНСКИЙ"" АО АКБ ""АЛЕФ-БАНК""",RU,37,640028,г,Курган,"ул Химмашевская, 16",2002-11-21,30,3,1,3735853000,PSAC,2119/1,044525268,
Избирательная комиссия Ярославской области,RU,78,150000,г,Ярославль,"ул Советская, 3",2000-01-01,99,1,1,7888001119,PSAC,,,
РКЦ НАРЬЯН-МАР,,11,166000,г,Нарьян-Мар,"ул Ленина, 36",1996-05-07,10,3,1,1125000000,PSAC,,041117001,
ПУ БАНКА РОССИИ N 83604,,00,083604,,, П/П 83604,1994-02-17,40,3,1,0021002000,PSAC,,044525000,
РКЦ ВОРКУТА,,87,169906,г,Воркута,"ул Мира, 24",1994-01-20,10,3,1,8718000000,PSAC,,048702001,
ПУ БАНКА РОССИИ ОСТРОВНОЕ,,64,694534,с,Горячие Ключи,,1994-01-20,40,3,1,6482002000,PSAC,,040507001,
СИБИРСКОЕ ГУ БАНКА РОССИИ,,50,630099,г,Новосибирск,"Красный пр-т, 27",1994-01-20,00,3,1,5004001000,PSAC,,,
ПУ БАНКА РОССИИ ПОЛЯРНОЕ,,47,184532,г,Оленегорск 2,,1994-01-20,40,3,1,4783002000,PSAC,,044030001,
ПУ БАНКА РОССИИ ФЛОТСКОЕ,,47,184670,г,Гаджиево, А/Я-43,1994-01-20,40,3,1,4784002000,PSAC,,044030001,
