bic	namep	rgn	ind	tnp	nnp	adr	prntbic	datein	pttype	srvcs	xchtype	uid	participantstatus	regn	cntrcd	account	regulationaccounttype	ck	accountcbrbic	accountstatus	englname	swbic	defaultswbic
045354001	ОТДЕЛЕНИЕ ОРЕНБУРГ БАНКА РОССИИ	53	460000	г	Оренбург	улица Ленинская, здание № 28	046577001	1994-01-20	12	3	1	5354001000	PSAC										
045339000	РКЦ ОРСК	53	462420	г	Орск	улица Машиностроителей, здание 61	045354001	1994-01-20	10	3	1	5339000000	PSAC										
049401601	УДМУРТСКОЕ ОТДЕЛЕНИЕ N8618 ПАО СБЕРБАНК	94	426057	г	Ижевск	ул Красная, 105	044525225	1991-02-25	30	3	1	9401601000	PSAC	1481/1625	RU	30101810400000000601	CRSA	68	049401001	ACAC			
045402601	ОРЛОВСКОЕ ОТДЕЛЕНИЕ N8595 ПАО СБЕРБАНК	54	302028	г	Орёл	ул Брестская, 8	044525225	1994-06-01	30	3	1	5402601000	PSAC	1481/1067	RU	30101810300000000601	CRSA	02	045402001	ACAC			
044525453	"Вэйбанк" АО	45	115184	г	Москва	улица Пятницкая, дом 57 строение 1		2015-09-08	20	3	1	4525453000	PSAC	3095	RU	30101810145250000453	CRSA	88	044525000	ACAC	Waybank Joint-Stock Company (Waybank JSC)	WJCMRUMM	1
100070031	ОАО "ФинансКредитБанк"	00	720021	город	Бишкек	ул. Абдрахманова 105		2024-02-20	71	6	0	1000000031	PSAC		KG								
044525101	ООО "Дойче Банк"	45	125047	г	Москва	улица Лесная, дом 5		1998-04-22	20	5	1	4525101000	PSAC	3328	RU	30101810100000000101	CRSA	12	044525000	ACAC	DEUTSCHE BANK LTD	DEUTRUMMXXX	1
045080002	ПУ БАНКА РОССИИ МОСКОВСКОЕ	50	630901	г	Новосибирск	Новосибирская область, городской округ город Новосибирск, город Новосибирск, улица Солидарности, здание 55, корпус 5	045004001	1994-01-20	40	3	1	5080002000	PSAC										
049401758	ООО НКО "ЭЛПЛАТ"	94	426009	г	Ижевск	ул. Совхозная, зд. 34		2016-09-02	20	5	1	9401758000	PSAC	3535-К	RU	30103810822029400758	CRSA	82	049401001	ACAC			
046015804	ПАО "ДОНКОМБАНК"	60	344068	г	Ростов-на-Дону	пр. Михаила Нагибина, 32а		1991-07-11	20	3	1	6015804000	PSAC	492	RU	30101810000000000804	CRSA	58	046015001	ACAC			
046015860	ПАО КБ "СЕЛЬМАШБАНК"	60	344029	г	Ростов-на-Дону	пр. Сельмаш, 102		1990-11-13	20	3	1	6015860000	PSAC	106	RU	30101810400000000860	CRSA	53	046015001	ACAC			
